id,severity_id,severity_name,count_detail,sla,product_type,brand,service_type,incident_type,open_datetime,close_datetime,response_datetime,resolved_datetime,updated_at,imported_at
902,1,Critical,1,24x7 4Hrs Response Time,Server,HPE,Incident,Network Card Failure,13/06/2022 18:04,14/06/2022 23:00,13/06/2022 18:11,14/06/2022 20:01,16/06/2022 11:43,41:28.7
903,2,Major,2,24x7 4Hrs Resolution Time,Server,HPE,Incident,Memory Failure,13/06/2022 18:11,13/06/2022 23:00,13/06/2022 18:24,13/06/2022 23:00,16/06/2022 10:55,41:28.7
901,2,Major,2,24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,13/06/2022 15:37,13/06/2022 19:30,13/06/2022 15:50,13/06/2022 18:30,14/06/2022 11:06,41:28.7
909,2,Major,1,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,13/06/2022 16:24,13/06/2022 22:00,13/06/2022 17:00,13/06/2022 22:00,14/06/2022 10:15,41:28.7
925,2,Major,0,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,General Incident,13/06/2022 09:00,13/06/2022 23:00,13/06/2022 09:30,13/06/2022 23:00,14/06/2022 11:24,41:28.7
939,2,Major,1,24x7 4Hrs Resolution Time,Security,Cisco,Incident,Upgrade Software,13/06/2022 16:17,13/06/2022 18:00,13/06/2022 18:00,13/06/2022 18:00,15/06/2022 12:10,41:28.7
928,2,Major,1,24x7 4Hrs Resolution Time,Software,VMWare,Request,Software,13/06/2022 10:47,13/06/2022 11:30,13/06/2022 10:56,13/06/2022 11:30,01/11/2022 16:55,41:28.7
956,2,Major,1,24x7 4Hrs Resolution Time,Software,VMWare,Incident,Software,13/06/2022 14:02,13/06/2022 16:30,13/06/2022 14:07,13/06/2022 16:00,20/06/2022 13:04,41:28.7
962,3,Minor,1,24x7 6Hrs Resolution Time,Software,VMWare,Incident,General Incident,13/06/2022 11:36,15/06/2022 13:16,13/06/2022 12:03,13/06/2022 14:24,20/06/2022 16:08,41:28.7
937,4,Cosmatic,4,24x7 6Hrs Resolution Time,Software,VMWare,Request,General Incident,13/06/2022 14:58,07/07/2022 09:36,13/06/2022 14:58,06/07/2022 01:49,10/10/2022 20:03,41:28.7
1575,4,Cosmatic,1,24x7 4Hrs Response Time,Software,VMWare,Request,General Incident,13/06/2022 08:17,13/06/2022 17:00,13/06/2022 09:00,13/06/2022 17:00,01/10/2022 19:25,41:28.7
1967,2,Major,4,24x7 4Hrs Response Time,Storage,NetApp,Incident,Hard Disk Drive Failure,05/12/2022 19:29,07/12/2022 00:09,05/12/2022 19:36,07/12/2022 00:09,23/12/2022 14:03,41:28.7
1148,3,Minor,4,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,20/07/2022 16:09,02/08/2022 20:00,20/07/2022 16:09,20/07/2022 17:02,15/08/2022 10:04,41:28.7
1124,2,Major,15,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,General Incident,20/07/2022 15:03,13/12/2022 18:51,20/07/2022 15:12,13/12/2022 18:51,13/12/2022 22:16,41:28.7
1125,2,Major,1,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,General Incident,20/07/2022 15:03,03/08/2022 13:35,20/07/2022 15:12,03/08/2022 13:35,08/08/2022 10:37,41:28.7
1153,2,Major,0,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,20/07/2022 11:00,20/07/2022 13:00,20/07/2022 11:30,20/07/2022 13:00,26/07/2022 10:59,41:28.7
1154,2,Major,1,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,20/07/2022 11:00,03/08/2022 15:00,20/07/2022 11:30,03/08/2022 15:00,09/08/2022 09:29,41:28.7
1155,2,Major,1,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,20/07/2022 11:00,03/08/2022 15:00,20/07/2022 11:30,03/08/2022 11:00,09/08/2022 09:32,41:28.7
